,F0,F1,F2,F3,F4,F5,F6,F7,F8
F0,40,11,8,4,3,1,0,6,0
F1,22,261,20,5,22,4,1,14,27
F2,25,78,470,26,39,11,1,36,71
F3,11,10,10,225,11,3,0,11,11
F4,5,21,45,4,161,4,4,17,8
F5,1,17,15,0,9,114,0,4,6
F6,0,0,0,0,1,0,12,1,2
F7,9,22,29,12,20,5,0,171,12
F8,22,58,67,43,14,4,2,24,508
