model,params,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_macro_auc,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_macro_auc
MultinomialNB,"{""alpha"": 0.1}",0.7219233355749832,0.6684433285231216,0.5605073803976595,0.5903201929593909,0.5865662061801672,0.7135644564119825,0.7807358705992519,0.5721609301159641,0.6149889523686143,0.5996918006426819
Rocchio,"{""top_k"": 3000}",0.667787491593813,0.6026622177868266,0.6356320636990698,0.610728606833913,0.7834147639051108,0.6627398182430159,0.6380678809047378,0.6622234910296406,0.644768723568145,0.7829083825788344
SparsePerceptron,"{""epochs"": 10, ""learning_rate"": 1.0}",0.6772024209818427,0.6607829327546926,0.5745349957216717,0.6053765335731277,0.8929876408255623,0.6698081454055873,0.6522065058688646,0.5942039139190833,0.6179174142443576,0.8858006649989784
